VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,Description,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
90024,VINILANDIA USA,24337,8.27,11.99,750.0,144.0,1190.88,Gran Passione Rosso IGT,128.0,419.72,1918.7200000000003,14.340000000000003,2802.6400000000003,727.8400000000001,37.933622414943294,0.8888888888888888,1.6111782883246004,8.270000000000001,Medium,132.32
4425,MARTIGNETTI COMPANIES,24532,19.2,28.99,750.0,62.0,1190.4,Joseph Drouhin Cote de Nuits,57.0,1027.64,1619.43,6.3100000000000005,144929.24,429.03,26.492654822993273,0.9193548387096774,1.3604082661290322,19.200000000000003,Small,96.0
8004,SAZERAC CO INC,1604,198.4,249.99,750.0,6.0,1190.4,Pappy Van Winkle Rsv 23 Yr,6.0,809.97,1619.94,4.72,50293.62000000002,429.53999999999996,26.515796881365972,1.0,1.360836693548387,198.4,Small,0.0
3960,DIAGEO NORTH AMERICA INC,1474,19.84,25.99,750.0,60.0,1190.4,George Dickel #12 Sour Mash,65.0,1299.5100000000002,1718.3500000000004,51.25999999999998,257032.07000000007,527.9500000000003,30.724241277970155,1.0833333333333333,1.4435063844086022,19.84,Small,-99.2
9552,M S WALKER INC,40424,5.51,7.99,375.0,216.0,1190.16,Mionetto Il Prosecco Veneto,197.0,207.74,1574.0300000000002,11.1,55551.819999999985,383.8700000000001,24.387718150225858,0.9120370370370371,1.322536465685286,5.510000000000001,Medium,104.69
12546,JIM BEAM BRANDS COMPANY,881,6.56,8.99,1000.0,181.0,1187.3600000000001,DeKuyper Hazelnut,210.0,1042.8400000000006,1887.9000000000005,220.4999999999999,123880.96999999999,700.5400000000004,37.10683828592617,1.160220994475138,1.5899979787090692,6.5600000000000005,Medium,-190.23999999999998
8004,SAZERAC CO INC,495,12.49,15.99,1000.0,95.0,1186.5500000000002,Sweet Carolina Sweet Tea Vdk,91.0,607.6200000000001,1455.09,95.55000000000001,50293.62000000002,268.53999999999974,18.455215828574158,0.9578947368421052,1.2263200033711177,12.490000000000002,Medium,49.96
9552,M S WALKER INC,27168,12.49,18.99,750.0,95.0,1186.5499999999997,Finca Villacreces Pruno Ribe,74.0,740.6100000000001,1405.2600000000002,8.25,55551.819999999985,218.7100000000005,15.563667933336212,0.7789473684210526,1.1843243015465008,12.489999999999997,Medium,262.29
17035,PERNOD RICARD USA,39841,5.84,8.99,750.0,203.0,1185.52,Kenwood Yulupa Cab Svgn Cal,187.0,296.66999999999996,1681.13,20.980000000000004,123780.21999999997,495.6100000000001,29.480765913403488,0.9211822660098522,1.4180528375733856,5.84,Medium,93.44
12546,JIM BEAM BRANDS COMPANY,516,8.52,10.99,1000.0,139.0,1184.28,Kamora Coffee Liqueur,152.0,1406.7200000000005,1670.4800000000007,159.5999999999999,123880.96999999999,486.2000000000007,29.10540682917488,1.0935251798561152,1.4105448035937453,8.52,Medium,-110.75999999999999
10754,PERFECTA WINES,24144,49.31,72.49,18000.0,24.0,1183.44,Ozeki Junmai Reishu Sake,20.0,942.37,1449.8,54.0,28720.52,266.3599999999999,18.372189267485165,0.8333333333333334,1.2250726695058474,49.31,Small,197.24
6785,PALM BAY INTERNATIONAL INC,17289,10.2,14.99,750.0,116.0,1183.2000000000003,Sella & Mosca Terre Rare,109.0,659.5600000000001,1633.9100000000003,12.190000000000001,13605.409999999998,450.71000000000004,27.58475069006249,0.9396551724137931,1.3809246112237998,10.200000000000003,Medium,71.39999999999999
1590,DIAGEO CHATEAU ESTATE WINES,15746,6.16,8.99,750.0,192.0,1182.7199999999998,Snap Dragon Pnt Nr,174.0,170.81,1564.26,19.560000000000002,7259.75,381.5400000000002,24.39108588086381,0.90625,1.3225953733766236,6.159999999999999,Medium,110.88
2000,SOUTHERN WINE & SPIRITS NE,25761,7.58,10.99,750.0,156.0,1182.48,Tellus Chardonnay,137.0,73.94,1573.63,15.419999999999998,19016.59,391.1500000000001,24.85654188087416,0.8782051282051282,1.3307878357350653,7.58,Medium,144.02
516,BANFI PRODUCTS CORP,18275,8.21,11.99,750.0,144.0,1182.24,Sartori Valpolicella Cls,121.0,617.5400000000002,1597.7900000000004,13.520000000000003,8510.410000000002,415.5500000000004,26.007798271362336,0.8402777777777778,1.3514937745297066,8.21,Medium,188.83
12546,JIM BEAM BRANDS COMPANY,5325,12.94,21.99,750.0,91.0,1177.5400000000002,Hornitos Spiced Honey Liquer,244.0,2428.7200000000007,4731.560000000001,192.18999999999997,123880.96999999999,3554.0200000000013,75.11307053064952,2.681318681318681,4.018173480306402,12.940000000000001,Medium,-1979.82
8352,LUXCO INC,1022,10.6,13.99,750.0,111.0,1176.5999999999997,St Brendans Salted Caramel,552.0,3924.610000000003,6382.479999999996,434.9599999999999,10261.599999999997,5205.8799999999965,81.56515962447199,4.972972972972973,5.424511303756585,10.599999999999998,Medium,-4674.599999999999
8892,TRINCHERO FAMILY ESTATES,33213,3.5,5.29,750.0,336.0,1176.0,Sycamore Lane Merlot Cal,329.0,142.83,1740.4100000000003,37.02,11595.970000000003,564.4100000000003,32.42971483730846,0.9791666666666666,1.4799404761904764,3.5,Medium,24.5
8320,SHAW ROSS INT L IMP LTD,5463,9.48,12.99,750.0,124.0,1175.52,Aguardiente Cristal Liqueur,109.0,792.3900000000002,1415.9100000000003,85.85999999999999,3151.9200000000014,240.39000000000033,16.977774011060045,0.8790322580645161,1.2044967333605556,9.48,Medium,142.20000000000002
4425,MARTIGNETTI COMPANIES,16174,21.7,35.99,750.0,54.0,1171.8000000000002,Inkblot Cab Franc,185.0,4267.790000000001,6481.149999999996,20.500000000000007,144929.24,5309.349999999996,81.9198753307669,3.425925925925926,5.530935313193374,21.700000000000003,Small,-2842.7
17035,PERNOD RICARD USA,216,15.62,21.99,1000.0,75.0,1171.5,Absolut Raspberri,64.0,799.6100000000001,1331.3600000000004,67.19999999999997,123780.21999999997,159.86000000000035,12.007270760725898,0.8533333333333334,1.1364575330772517,15.62,Small,171.82
7153,PINE STATE TRADING CO,12511,9.67,19.99,750.0,121.0,1170.0700000000002,Angelini Sangiovese Pesaresi,119.0,1374.1500000000005,1888.8100000000004,13.150000000000007,15884.819999999998,718.7400000000002,38.05253042921205,0.9834710743801653,1.6142709410548088,9.670000000000002,Medium,19.34
8892,TRINCHERO FAMILY ESTATES,18232,11.03,19.99,750.0,106.0,1169.18,Shatter Grenache VdP Catalan,273.0,2398.8000000000006,5457.269999999997,30.419999999999987,11595.970000000003,4288.0899999999965,78.57573475382378,2.5754716981132075,4.667604645991204,11.030000000000001,Medium,-1842.01
